Time per algorithm: 
Selection, Bubble, Insert, Merge
3.099 , 5.973 , 2.611 , 0.011
2.356 , 4.799 , 1.406 , 0.021
2.538 , 3.6 , 1.27 , 0.021
3.152 , 4.989 , 1.897 , 0.009
3.111 , 3.844 , 1.529 , 0.02
2.218 , 4.623 , 2.25 , 0.011
2.161 , 3.933 , 1.14 , 0.014
1.982 , 4.406 , 2.833 , 0.034
2.47 , 5.416 , 1.192 , 0.021
2.175 , 3.822 , 1.234 , 0.011
2.726 , 3.773 , 1.698 , 0.014
2.191 , 4.108 , 1.356 , 0.013
2.045 , 3.99 , 1.278 , 0.012
2.713 , 3.574 , 1.118 , 0.01
1.771 , 4.222 , 1.202 , 0.011
1.882 , 3.426 , 1.746 , 0.06
2.036 , 4.588 , 1.665 , 0.013
2.408 , 3.544 , 1.201 , 0.045
1.708 , 4.041 , 1.384 , 0.009
2.394 , 4.426 , 1.612 , 0.011
Average: 
2.3568 , 4.25485 , 1.5811 , 0.01855
Standard deviation: 
0.430003 , 0.662895 , 0.486916 , 0.013304
